순번,년도,모델명,제조사,유종,배기량,복합연비,등급,평균주행거리(km),전비(km/kWh)
1,2019,코나 전기자동차 (도심형),현대,전기,0.0,5.8,고속,15000,5.6
2,2019,Model S Long Range Plus,테슬라코리아 유한회사,전기,0.0,4.4,고속,15000,4.6
3,2019,EV SAVER(파워테크닉스 세이버 KNCSZ76ADK803665),파워테크닉스,전기,0.0,1.6,고속,15000,1.6
4,2019,Change,AD모터스,전기,0.0,4.3,저속,15000,4.3
5,2019,e-tron 50 uattro,아우디,전기,0.0,2.9,고속,15000,2.9
6,2019,Model 3 Long Range,테슬라코리아 유한회사,전기,0.0,5.0,고속,15000,5.1
7,2019,코나 전기자동차 (기본형),현대,전기,0.0,5.6,고속,15000,5.6
8,2022,BMW i3 94Ah,BMW,전기,0.0,5.4,고속,15000,5.4
9,2019,LEAF PLUS,닛산,전기,0.0,4.8,고속,15000,4.8
10,2019,아이오닉 전기차(PE),현대,전기,0.0,6.3,고속,15000,6.3
11,2019,Model S Performance,테슬라코리아 유한회사,전기,0.0,4.2,고속,15000,4.6
12,2019,Peugeot e-2008 SUV,PSA Automobiles,전기,0.0,4.3,고속,15000,4.3
13,2019,D2P,쎄미시스코,전기,0.0,5.2,고속,15000,5.2
14,2019,Model S 100D,테슬라코리아 유한회사,전기,0.0,4.0,고속,15000,4.6
15,2019,"타이칸 4S (High, 5인승)",포르쉐,전기,0.0,2.9,고속,15000,2.9
16,2019,e-tron 55 uattro,아우디,전기,0.0,3.0,고속,15000,3.0
17,2019,Model X P100D,테슬라코리아 유한회사,전기,0.0,3.1,고속,15000,3.1
18,2019,Model 3 Performance,테슬라코리아 유한회사,전기,0.0,4.7,고속,15000,5.1
19,2019,Model X 75D,테슬라코리아 유한회사,전기,0.0,3.4,고속,15000,3.4
20,2019,파워프라자 봉고3ev PEACE,(주)파워프라자,전기,0.0,2.4,고속,15000,2.4
21,2019,파워프라자 라보 ev PEACE,한국지엠,전기,0.0,3.5,고속,15000,3.5
22,2019,Model X Performance,테슬라코리아 유한회사,전기,0.0,3.7,고속,15000,3.7
23,2019,DANIGO 3,(주)대창모터스,전기,0.0,6.1,고속,15000,6.1
24,2019,CEVO-C,Supa Motor Limited,전기,0.0,6.4,고속,15000,6.4
25,2024,BMW iX xDrive50,BMW,전기,0.0,3.7,4등급,15000,3.7
26,2019,재규어 I-PACE EV400,재규어,전기,0.0,3.5,고속,15000,3.5
27,2019,D2C,쎄미시스코,전기,0.0,5.2,고속,15000,5.2
28,2019,Model X 75D,테슬라코리아 유한회사,전기,0.0,4.1,고속,15000,4.1
29,2019,아이오닉 전기차 (18MY),현대,전기,0.0,6.3,고속,15000,6.3
30,2019,TWIZY Urban(2인승),르노삼성,전기,0.0,7.9,고속,15000,7.9
31,2019,LSEV,코리아에어카고,전기,0.0,4.4,고속,15000,4.4
32,2019,포터일렉트릭,현대,전기,0.0,3.1,고속,15000,3.1
33,2019,Model S Performance,테슬라코리아 유한회사,전기,0.0,4.3,고속,15000,4.6
34,2019,CHEVROLET BOLT EV,GM,전기,0.0,5.4,고속,15000,5.4
35,2019,타이칸 4S (High),포르쉐,전기,0.0,2.9,고속,15000,2.9
36,2019,Danigo(다니고),(주)대창모터스,전기,0.0,5.3,저속,15000,5.3
37,2019,TWIZY Cargo(1인승),르노삼성,전기,0.0,7.9,고속,15000,7.9
38,2019,BMW i3 94Ah,BMW,전기,0.0,5.4,고속,15000,5.4
39,2019,e-tron Sportback 50 uattro,아우디,전기,0.0,3.0,고속,15000,3.0
40,2019,Model S P100D,테슬라코리아 유한회사,전기,0.0,3.8,고속,15000,4.6
41,2019,Model X Long Range Plus,테슬라코리아 유한회사,전기,0.0,4.0,고속,15000,4.0
42,2019,LEAF,닛산,전기,0.0,5.2,고속,15000,5.2
43,2019,DS3 CROSSBACK E-TENSE,PSA Automobiles,전기,0.0,4.3,고속,15000,4.3
44,2019,Model X 100D,테슬라코리아 유한회사,전기,0.0,4.1,고속,15000,4.1
45,2019,Peugeot e-208,PSA Automobiles,전기,0.0,4.4,고속,15000,4.4
46,2019,Model X 100D,테슬라코리아 유한회사,전기,0.0,3.4,고속,15000,3.4
47,2019,봉고 전기차,기아,전기,0.0,3.1,고속,15000,3.1
48,2019,"쏘울 전기차(기본형, 64kWh)",기아,전기,0.0,5.4,고속,15000,5.4
49,2019,SM3 Z.E.,르노삼성,전기,0.0,4.5,고속,15000,4.5
50,2019,"니로 전기차 (경제형, 39.2kWh)",기아,전기,0.0,5.5,고속,15000,5.3
51,2019,Model S 75D,테슬라코리아 유한회사,전기,0.0,4.3,고속,15000,4.6
52,2019,BMW i3 120Ah,BMW,전기,0.0,5.6,고속,15000,5.6
53,2019,Model 3 Standard Range Plus RWD,테슬라코리아 유한회사,전기,0.0,5.8,고속,15000,5.1
54,2019,마스타(MASTA)VAN,마스타전기차(주),전기,0.0,6.1,고속,15000,6.1
55,2019,Model X Performance,테슬라코리아 유한회사,전기,0.0,3.8,고속,15000,3.8
56,2019,마이브 M1,투데이션샤인,전기,0.0,5.5,고속,15000,5.5
57,2019,Model X Long Range,테슬라코리아 유한회사,전기,0.0,3.9,고속,15000,3.9
58,2019,ZOE,르노삼성,전기,0.0,4.8,고속,15000,4.8
59,2019,LEAF,닛산,전기,0.0,5.1,고속,15000,5.1
60,2019,코란도 e-motion 2WD Non Heat Pump,쌍용,전기,0.0,4.8,고속,15000,4.8
61,2019,다니고3픽업(DANIGO 3 PICK UP),(주)대창모터스,전기,0.0,6.1,고속,15000,6.1
62,2019,제인모터스칼마토EV1톤내장탑차,제인모터스,전기,0.0,2.3,고속,15000,2.3
63,2019,Model S Long Range,테슬라코리아 유한회사,전기,0.0,4.3,고속,15000,4.6
64,2019,"니로 전기차 (기본형, 64kWh)",기아,전기,0.0,5.3,고속,15000,5.3
65,2019,CHEVROLET BOLT EV,한국지엠,전기,0.0,5.5,고속,15000,5.5
66,2019,벤츠 EQC 400 4MATIC,벤츠,전기,0.0,3.2,고속,15000,3.2
67,2019,"쏘울 전기차 (도심형, 39.2kWh)",기아,전기,0.0,5.6,고속,15000,5.6
68,2023,BMW i3 120Ah,BMW,전기,0.0,5.6,2등급,15000,5.6
69,2023,BMW i3 94Ah,BMW,전기,0.0,5.4,2등급,15000,5.4
70,2023,BMW i4 M50,BMW,전기,0.0,4.1,4등급,15000,4.8
71,2023,BMW i4 eDrive40,BMW,전기,0.0,4.6,3등급,15000,4.8
72,2023,BMW i5 M60 xDrive,BMW,전기,0.0,3.8,4등급,15000,3.8
73,2023,BMW i5 eDrive40,BMW,전기,0.0,4.1,4등급,15000,4.1
74,2023,BMW i7 M70 xDrive,BMW,전기,0.0,3.3,5등급,15000,3.3
75,2023,BMW i7 eDrive50,BMW,전기,0.0,3.8,4등급,15000,3.8
76,2023,BMW i7 xDrive60,BMW,전기,0.0,3.7,4등급,15000,3.7
77,2023,BMW iX M60,BMW,전기,0.0,3.4,4등급,15000,3.4
78,2023,BMW iX xDrive40,BMW,전기,0.0,3.9,4등급,15000,3.9
79,2023,BMW iX xDrive50,BMW,전기,0.0,3.6,4등급,15000,3.6
80,2023,BMW iX xDrive50,BMW,전기,0.0,3.7,4등급,15000,3.7
81,2023,BMW iX1 xDrive30,BMW,전기,0.0,4.2,3등급,15000,4.2
82,2023,BMW iX3 M Sport,BMW,전기,0.0,4.1,4등급,15000,4.4
83,2023,CEVO-C,Supa Motor Limited,전기,0.0,6.4,초소형,15000,6.4
84,2023,CEVO-C SE,(주)캠시스,전기,0.0,6.3,초소형,15000,6.3
85,2023,CEVO-C SE 1인승 밴형,주식회사 쎄보모빌리티,전기,0.0,6.3,초소형,15000,6.3
86,2023,CHEVROLET BOLT EUV,GM,전기,0.0,5.5,2등급,15000,5.5
87,2023,CHEVROLET BOLT EV,GM,전기,0.0,5.4,2등급,15000,5.4
88,2023,CHEVROLET BOLT EV,한국지엠,전기,0.0,5.5,2등급,15000,5.5
89,2023,D2C,쎄미시스코,전기,0.0,5.2,초소형,15000,5.2
90,2023,D2C(D2C13),쎄미시스코,전기,0.0,5.4,초소형,15000,5.4
91,2023,D2P,쎄미시스코,전기,0.0,5.2,초소형,15000,5.2
92,2023,DANIGO 3,(주)대창모터스,전기,0.0,6.1,초소형,15000,6.1
93,2023,DS3 CROSSBACK E-TENSE,PSA Automobiles,전기,0.0,4.3,3등급,15000,4.3
94,2023,DS3 CROSSBACK E-TENSE,PSA Automobiles,전기,0.0,4.9,3등급,15000,4.9
95,2023,DS3 E-TENSE,PSA Automobiles,전기,0.0,5.5,2등급,15000,5.5
96,2023,Danigo(다니고),(주)대창모터스,전기,0.0,5.3,초소형,15000,5.3
97,2023,EV SAVER(파워테크닉스 세이버 KNCSZ76ADK803665),파워테크닉스,전기,0.0,1.6,5등급,15000,1.6
98,2023,EV6 GT,기아,전기,0.0,3.9,4등급,15000,5.3
