,순번,년도,모델명,제조사,유종,배기량,복합연비,등급,CO2배출량,소중대/형,평균주행거리,세금,보험료(26세 이상),타이어 교체비용,엔진오일 교체비용,브레이크오일 교체비용,구동배터리 교체비용,요소수,에너지단가(원/kWh),1년 유지비(원)
0,1,2019,BMW i3 120Ah,BMW,전기,0.0,5.6,고속,0.0,소형,15000,130000,1839600,160000.0,0,0,6000000.0,0,158.17058823529416,2553271
1,2,2023,BMW i3 120Ah,BMW,전기,0.0,5.6,2등급,0.0,소형,15000,130000,1411200,160000.0,0,0,6000000.0,0,316.3411764705883,2548542
2,3,2020,BMW i3 120Ah,BMW,전기,0.0,5.6,고속,0.0,소형,15000,130000,1789200,160000.0,0,0,6000000.0,0,189.80470588235298,2587605
3,4,2021,BMW i3 120Ah,BMW,전기,0.0,5.6,고속(전기),0.0,소형,15000,130000,1701000,160000.0,0,0,6000000.0,0,253.07294117647066,2668873
4,5,2022,BMW i3 120Ah,BMW,전기,0.0,5.6,고속,0.0,소형,15000,130000,1512000,160000.0,0,0,6000000.0,0,300.5241176470589,2606975
5,6,2024,BMW i3 120Ah,BMW,전기,0.0,5.66,2등급,0.0,소형,15000,130000,1323000,160000.0,0,0,6000000.0,0,316.3411764705883,2451360
6,7,2022,BMW i3 94Ah,BMW,전기,0.0,5.4,고속,0.0,소형,15000,130000,1512000,160000.0,0,0,6000000.0,0,300.5241176470589,2636789
7,8,2019,BMW i3 94Ah,BMW,전기,0.0,5.4,고속,0.0,소형,15000,130000,1839600,160000.0,0,0,6000000.0,0,158.17058823529416,2568962
8,9,2023,BMW i3 94Ah,BMW,전기,0.0,5.4,2등급,0.0,소형,15000,130000,1411200,160000.0,0,0,6000000.0,0,316.3411764705883,2579925
9,10,2020,BMW i3 94Ah,BMW,전기,0.0,5.4,고속,0.0,소형,15000,130000,1789200,160000.0,0,0,6000000.0,0,189.80470588235298,2606435
10,11,2021,BMW i3 94Ah,BMW,전기,0.0,5.4,고속(전기),0.0,소형,15000,130000,1701000,160000.0,0,0,6000000.0,0,253.07294117647066,2693980
11,12,2023,BMW i4 eDrive40,BMW,전기,0.0,4.6,3등급,0.0,중형,15000,130000,1701000,280000.0,0,0,8000000.0,0,316.3411764705883,3142547
